"Code","Description_Clean","Severity","Recommended_Action"
"101","Aanbeveling om een optioneel, maar belangrijk veld (zoals Artikelomschrijving) in te vullen.","WARNING","Review and consider fixing"
"102","Een veld is leeg terwijl dit verplicht is vanwege een afhankelijkheid met een ander veld.","WARNING","Review and consider fixing"
"103","De Brutoprijs is lager dan de Nettoprijs.","WARNING","Review and consider fixing"
"104","De 'Omschrijving Verpakkingseenheid' komt mogelijk niet overeen met de UOM-velden.","WARNING","Review and consider fixing"
"107","Een GTIN ontbreekt bij een medisch hulpmiddel met een hoge risicoklasse.","WARNING","Review and consider fixing"
"109","De eindwaarde van een prijsstaffel is lager dan of gelijk aan de startwaarde.","WARNING","Review and consider fixing"
"110","'GLN Leverancier' is verplicht voor GS1, maar niet ingevuld.","WARNING","Review and consider fixing"
"111","Een 'Link IFU' wordt sterk aanbevolen voor een medisch hulpmiddel, maar ontbreekt.","WARNING","Review and consider fixing"
"112","De 'Artikelnaam Alternatief Artikel' ontbreekt terwijl het artikelnummer wel is ingevuld.","WARNING","Review and consider fixing"
"113","Aanbeveling om 'Barcode Alternatief Artikel' in te vullen.","WARNING","Review and consider fixing"
"114","De 'UNSPSC'-code ontbreekt terwijl dit verplicht is voor specifieke ziekenhuizen.","WARNING","Review and consider fixing"
"115","Een veld dat verplicht is voor GS1-aanleveringen is niet ingevuld.","WARNING","Review and consider fixing"
"116","Een 'CAS-nummer' wordt verwacht omdat het product als chemische stof is geïdentificeerd.","WARNING","Review and consider fixing"
"117","Aanbeveling om een 'CAS-nummer' in te vullen bij een 'Stofnaam' of 'Brutoformule'.","WARNING","Review and consider fixing"
"118","Aanbeveling om 'Link IFU' in te vullen bij een 'Gebruiksaanwijzing Code Referentie'.","WARNING","Review and consider fixing"
"119","De 'Maximum Temperatuur' is lager dan de 'Minimum Temperatuur'.","WARNING","Review and consider fixing"
"120","Een 'GMDN-code' ontbreekt terwijl deze verplicht is op basis van productkenmerken.","WARNING","Review and consider fixing"
"121","Een 'EMDN-code' ontbreekt terwijl deze verplicht is op basis van productkenmerken.","WARNING","Review and consider fixing"
"122","Een 'CE Certificaat nummer' ontbreekt terwijl dit verplicht is op basis van de risicoklasse.","WARNING","Review and consider fixing"
